#NCBI_GeneID	Ensembl_Gene	HGNC_ID	symbol	name	RefSeq_nuc	RefSeq_prot	Ensembl_nuc	Ensembl_prot	MANE_status	GRCh38_chr	chr_start	chr_end	chr_strand
GeneID:4544	ENSG00000134640.3	HGNC:7464	MTNR1B	melatonin receptor 1B	NM_005959.5	NP_005950.1	ENST00000257068.3	ENSP00000257068.2	MANE Select	11	92969651	92982782	+
GeneID:4547	ENSG00000138823.14	HGNC:7467	MTTP	microsomal triglyceride transfer protein	NM_001386140.1	NP_001373069.1	ENST00000265517.10	ENSP00000265517.5	MANE Select	4	99574824	99623997	+
GeneID:4548	ENSG00000116984.15	HGNC:7468	MTR	5-methyltetrahydrofolate-homocysteine methyltransferase	NM_000254.3	NP_000245.2	ENST00000366577.10	ENSP00000355536.5	MANE Select	1	236795292	236903981	+
GeneID:4552	ENSG00000124275.15	HGNC:7473	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	NM_002454.3	NP_002445.2	ENST00000440940.7	ENSP00000402510.2	MANE Select	5	7869148	7901113	+
GeneID:4580	ENSG00000173171.15	HGNC:7504	MTX1	metaxin 1	NM_002455.5	NP_002446.3	ENST00000368376.8	ENSP00000357360.3	MANE Select	1	155208695	155213823	+
GeneID:4584	ENSG00000169894.18	HGNC:7513	MUC3A	mucin 3A, cell surface associated	NM_005960.2	NP_005951.1	ENST00000379458.9	ENSP00000368771.5	MANE Select	7	100949534	100968347	+
GeneID:4585	ENSG00000145113.22	HGNC:7514	MUC4	mucin 4, cell surface associated	NM_018406.7	NP_060876.5	ENST00000463781.8	ENSP00000417498.3	MANE Select	3	195746771	195811929	-
GeneID:4586	ENSG00000215182.8	HGNC:7515	MUC5AC	mucin 5AC, oligomeric mucus/gel-forming	NM_001304359.2	NP_001291288.1	ENST00000621226.2	ENSP00000485659.1	MANE Select	11	1157953	1201138	+
GeneID:4588	ENSG00000184956.16	HGNC:7517	MUC6	mucin 6, oligomeric mucus/gel-forming	NM_005961.3	NP_005952.2	ENST00000421673.7	ENSP00000406861.2	MANE Select	11	1012823	1036718	-
GeneID:4589	ENSG00000171195.11	HGNC:7518	MUC7	mucin 7, secreted	NM_152291.3	NP_689504.2	ENST00000304887.6	ENSP00000302021.5	MANE Select	4	70472197	70482997	+
GeneID:4591	ENSG00000108395.14	HGNC:7523	TRIM37	tripartite motif containing 37	NM_015294.6	NP_056109.1	ENST00000262294.12	ENSP00000262294.7	MANE Select	17	58998202	59106880	-
GeneID:4593	ENSG00000030304.15	HGNC:7525	MUSK	muscle associated receptor tyrosine kinase	NM_005592.4	NP_005583.1	ENST00000374448.9	ENSP00000363571.4	MANE Select	9	110668791	110806558	+
GeneID:4594	ENSG00000146085.8	HGNC:7526	MMUT	methylmalonyl-CoA mutase	NM_000255.4	NP_000246.2	ENST00000274813.4	ENSP00000274813.3	MANE Select	6	49430360	49463253	-
GeneID:4595	ENSG00000132781.20	HGNC:7527	MUTYH	mutY DNA glycosylase	NM_001048174.2	NP_001041639.1	ENST00000456914.7	ENSP00000407590.2	MANE Select	1	45329242	45339970	-
GeneID:4597	ENSG00000167508.12	HGNC:7529	MVD	mevalonate diphosphate decarboxylase	NM_002461.3	NP_002452.1	ENST00000301012.8	ENSP00000301012.3	MANE Select	16	88651940	88663091	-
GeneID:4598	ENSG00000110921.14	HGNC:7530	MVK	mevalonate kinase	NM_000431.4	NP_000422.1	ENST00000228510.8	ENSP00000228510.3	MANE Select	12	109573794	109598125	+
GeneID:4599	ENSG00000157601.15	HGNC:7532	MX1	MX dynamin like GTPase 1	NM_002462.5	NP_002453.2	ENST00000398598.8	ENSP00000381599.3	MANE Select	21	41426239	41459212	+
GeneID:4600	ENSG00000183486.14	HGNC:7533	MX2	MX dynamin like GTPase 2	NM_002463.2	NP_002454.1	ENST00000330714.8	ENSP00000333657.3	MANE Select	21	41362027	41409393	+
GeneID:4601	ENSG00000119950.21	HGNC:7534	MXI1	MAX interactor 1, dimerization protein	NM_130439.3	NP_569157.2	ENST00000332674.9	ENSP00000331152.5	MANE Select	10	110207605	110287365	+
GeneID:4602	ENSG00000118513.20	HGNC:7545	MYB	MYB proto-oncogene, transcription factor	NM_001130173.2	NP_001123645.1	ENST00000341911.10	ENSP00000339992.5	MANE Select	6	135181308	135219172	+
GeneID:4603	ENSG00000185697.17	HGNC:7547	MYBL1	MYB proto-oncogene like 1	NM_001080416.4	NP_001073885.1	ENST00000522677.8	ENSP00000429633.2	MANE Select	8	66562175	66613218	-
GeneID:4604	ENSG00000196091.15	HGNC:7549	MYBPC1	myosin binding protein C1	NM_002465.4	NP_002456.2	ENST00000361466.7	ENSP00000354849.2	MANE Select	12	101594971	101686028	+
GeneID:4605	ENSG00000101057.16	HGNC:7548	MYBL2	MYB proto-oncogene like 2	NM_002466.4	NP_002457.1	ENST00000217026.5	ENSP00000217026.4	MANE Select	20	43667114	43716482	+
GeneID:4606	ENSG00000086967.10	HGNC:7550	MYBPC2	myosin binding protein C2	NM_004533.4	NP_004524.3	ENST00000357701.6	ENSP00000350332.4	MANE Select	19	50432892	50466321	+
GeneID:4607	ENSG00000134571.12	HGNC:7551	MYBPC3	myosin binding protein C3	NM_000256.3	NP_000247.2	ENST00000545968.6	ENSP00000442795.1	MANE Select	11	47331406	47352702	-
GeneID:4608	ENSG00000133055.10	HGNC:7552	MYBPH	myosin binding protein H	NM_004997.3	NP_004988.2	ENST00000255416.9	ENSP00000255416.4	MANE Select	1	203167811	203175826	-
GeneID:4609	ENSG00000136997.21	HGNC:7553	MYC	MYC proto-oncogene, bHLH transcription factor	NM_002467.6	NP_002458.2	ENST00000621592.8	ENSP00000478887.2	MANE Select	8	127736231	127742951	+
GeneID:4610	ENSG00000116990.11	HGNC:7555	MYCL	MYCL proto-oncogene, bHLH transcription factor	NM_001033081.3	NP_001028253.1	ENST00000372816.3	ENSP00000361903.2	MANE Select	1	39895428	39901917	-
GeneID:4613	ENSG00000134323.12	HGNC:7559	MYCN	MYCN proto-oncogene, bHLH transcription factor	NM_005378.6	NP_005369.2	ENST00000281043.4	ENSP00000281043.3	MANE Select	2	15940550	15947004	+
GeneID:4615	ENSG00000172936.16	HGNC:7562	MYD88	MYD88 innate immune signal transduction adaptor	NM_002468.5	NP_002459.3	ENST00000650905.2	ENSP00000498360.2	MANE Select	3	38138661	38143022	+
GeneID:4616	ENSG00000099860.9	HGNC:4096	GADD45B	growth arrest and DNA damage inducible beta	NM_015675.4	NP_056490.2	ENST00000215631.9	ENSP00000215631.3	MANE Select	19	2476127	2478257	+
GeneID:4617	ENSG00000111049.4	HGNC:7565	MYF5	myogenic factor 5	NM_005593.3	NP_005584.2	ENST00000228644.4	ENSP00000228644.3	MANE Select	12	80716912	80719671	+
GeneID:4618	ENSG00000111046.4	HGNC:7566	MYF6	myogenic factor 6	NM_002469.3	NP_002460.1	ENST00000228641.4	ENSP00000228641.3	MANE Select	12	80707634	80709474	+
GeneID:4619	ENSG00000109061.10	HGNC:7567	MYH1	myosin heavy chain 1	NM_005963.4	NP_005954.3	ENST00000226207.6	ENSP00000226207.5	MANE Select	17	10492307	10518542	-
GeneID:4620	ENSG00000125414.19	HGNC:7572	MYH2	myosin heavy chain 2	NM_017534.6	NP_060004.3	ENST00000245503.10	ENSP00000245503.5	MANE Select	17	10521148	10549658	-
GeneID:4621	ENSG00000109063.15	HGNC:7573	MYH3	myosin heavy chain 3	NM_002470.4	NP_002461.2	ENST00000583535.6	ENSP00000464317.1	MANE Select	17	10628532	10657309	-
GeneID:4622	ENSG00000264424.1	HGNC:7574	MYH4	myosin heavy chain 4	NM_017533.2	NP_060003.2	ENST00000255381.2	ENSP00000255381.2	MANE Select	17	10443290	10469559	-
GeneID:4624	ENSG00000197616.13	HGNC:7576	MYH6	myosin heavy chain 6	NM_002471.4	NP_002462.2	ENST00000405093.9	ENSP00000386041.3	MANE Select	14	23381987	23408273	-
GeneID:4625	ENSG00000092054.13	HGNC:7577	MYH7	myosin heavy chain 7	NM_000257.4	NP_000248.2	ENST00000355349.4	ENSP00000347507.3	MANE Select	14	23412740	23435660	-
GeneID:4626	ENSG00000133020.4	HGNC:7578	MYH8	myosin heavy chain 8	NM_002472.3	NP_002463.2	ENST00000403437.2	ENSP00000384330.2	MANE Select	17	10390322	10421950	-
GeneID:4627	ENSG00000100345.23	HGNC:7579	MYH9	myosin heavy chain 9	NM_002473.6	NP_002464.1	ENST00000216181.11	ENSP00000216181.6	MANE Select	22	36281280	36387967	-
GeneID:4628	ENSG00000133026.14	HGNC:7568	MYH10	myosin heavy chain 10	NM_001256012.3	NP_001242941.1	ENST00000360416.8	ENSP00000353590.4	MANE Select	17	8474224	8630725	-
GeneID:4629	ENSG00000133392.18	HGNC:7569	MYH11	myosin heavy chain 11	NM_002474.3	NP_002465.1	ENST00000300036.6	ENSP00000300036.5	MANE Select	16	15703135	15857028	-
GeneID:4629	ENSG00000133392.18	HGNC:7569	MYH11	myosin heavy chain 11	NM_001040113.2	NP_001035202.1	ENST00000452625.7	ENSP00000407821.2	MANE Plus Clinical	16	15703135	15857028	-
GeneID:4632	ENSG00000168530.16	HGNC:7582	MYL1	myosin light chain 1	NM_079420.3	NP_524144.1	ENST00000352451.4	ENSP00000307280.4	MANE Select	2	210290150	210315174	-
GeneID:4633	ENSG00000111245.17	HGNC:7583	MYL2	myosin light chain 2	NM_000432.4	NP_000423.2	ENST00000228841.15	ENSP00000228841.8	MANE Select	12	110910845	110920579	-
GeneID:4634	ENSG00000160808.11	HGNC:7584	MYL3	myosin light chain 3	NM_000258.3	NP_000249.1	ENST00000292327.6	ENSP00000292327.4	MANE Select	3	46857872	46863444	-
GeneID:4635	ENSG00000198336.9	HGNC:7585	MYL4	myosin light chain 4	NM_002476.2	NP_002467.1	ENST00000393450.5	ENSP00000377096.1	MANE Select	17	47209348	47223679	+
GeneID:4637	ENSG00000092841.19	HGNC:7587	MYL6	myosin light chain 6	NM_021019.5	NP_066299.2	ENST00000550697.6	ENSP00000446955.2	MANE Select	12	56158359	56161579	+
GeneID:4638	ENSG00000065534.20	HGNC:7590	MYLK	myosin light chain kinase	NM_053025.4	NP_444253.3	ENST00000360304.8	ENSP00000353452.3	MANE Select	3	123610049	123884332	-
GeneID:4640	ENSG00000166866.13	HGNC:7595	MYO1A	myosin IA	NM_005379.4	NP_005370.1	ENST00000300119.8	ENSP00000300119.3	MANE Select	12	57028517	57050129	-
GeneID:4641	ENSG00000197879.17	HGNC:7597	MYO1C	myosin IC	NM_001080779.2	NP_001074248.1	ENST00000648651.1	ENSP00000496954.1	MANE Select	17	1464186	1492686	-
GeneID:4642	ENSG00000176658.17	HGNC:7598	MYO1D	myosin ID	NM_015194.3	NP_056009.1	ENST00000318217.10	ENSP00000324527.5	MANE Select	17	32492522	32877124	-
GeneID:4643	ENSG00000157483.9	HGNC:7599	MYO1E	myosin IE	NM_004998.4	NP_004989.2	ENST00000288235.9	ENSP00000288235.4	MANE Select	15	59132434	59372871	-
GeneID:4644	ENSG00000197535.16	HGNC:7602	MYO5A	myosin VA	NM_001382347.1	NP_001369276.1	ENST00000399233.7	ENSP00000382179.4	MANE Select	15	52307283	52528880	-
GeneID:4645	ENSG00000167306.20	HGNC:7603	MYO5B	myosin VB	NM_001080467.3	NP_001073936.1	ENST00000285039.12	ENSP00000285039.6	MANE Select	18	49822789	50195147	-
GeneID:4646	ENSG00000196586.17	HGNC:7605	MYO6	myosin VI	NM_004999.4	NP_004990.3	ENST00000369977.8	ENSP00000358994.3	MANE Select	6	75749239	75919537	+
GeneID:4647	ENSG00000137474.23	HGNC:7606	MYO7A	myosin VIIA	NM_000260.4	NP_000251.3	ENST00000409709.9	ENSP00000386331.3	MANE Select	11	77128246	77215241	+
GeneID:4648	ENSG00000169994.20	HGNC:7607	MYO7B	myosin VIIB	NM_001393586.1	NP_001380515.1	ENST00000409816.8	ENSP00000386461.3	MANE Select	2	127535683	127637726	+
GeneID:4649	ENSG00000066933.16	HGNC:7608	MYO9A	myosin IXA	NM_006901.4	NP_008832.2	ENST00000356056.10	ENSP00000348349.5	MANE Select	15	71822291	72118150	-
GeneID:4650	ENSG00000099331.14	HGNC:7609	MYO9B	myosin IXB	NM_004145.4	NP_004136.2	ENST00000682292.1	ENSP00000507803.1	MANE Select	19	17075777	17213286	+
GeneID:4651	ENSG00000145555.15	HGNC:7593	MYO10	myosin X	NM_012334.3	NP_036466.2	ENST00000513610.6	ENSP00000421280.1	MANE Select	5	16661907	16936288	-
GeneID:4653	ENSG00000034971.17	HGNC:7610	MYOC	myocilin	NM_000261.2	NP_000252.1	ENST00000037502.11	ENSP00000037502.5	MANE Select	1	171635417	171652688	-
GeneID:4654	ENSG00000129152.4	HGNC:7611	MYOD1	myogenic differentiation 1	NM_002478.5	NP_002469.2	ENST00000250003.4	ENSP00000250003.3	MANE Select	11	17719571	17722136	+
GeneID:4656	ENSG00000122180.5	HGNC:7612	MYOG	myogenin	NM_002479.6	NP_002470.2	ENST00000241651.5	ENSP00000241651.4	MANE Select	1	203083129	203086012	-
GeneID:4659	ENSG00000058272.19	HGNC:7618	PPP1R12A	protein phosphatase 1 regulatory subunit 12A	NM_002480.3	NP_002471.1	ENST00000450142.7	ENSP00000389168.2	MANE Select	12	79773568	79935097	-
GeneID:4660	ENSG00000077157.22	HGNC:7619	PPP1R12B	protein phosphatase 1 regulatory subunit 12B	NM_002481.4	NP_002472.2	ENST00000608999.6	ENSP00000476755.1	MANE Select	1	202348699	202592702	+
GeneID:4661	ENSG00000196132.14	HGNC:7622	MYT1	myelin transcription factor 1	NM_004535.3	NP_004526.1	ENST00000328439.6	ENSP00000327465.1	MANE Select	20	64164452	64242253	+
GeneID:4664	ENSG00000138386.17	HGNC:7626	NAB1	NGFI-A binding protein 1	NM_005966.4	NP_005957.2	ENST00000337386.10	ENSP00000336894.5	MANE Select	2	190649083	190692766	+
GeneID:4665	ENSG00000166886.13	HGNC:7627	NAB2	NGFI-A binding protein 2	NM_005967.4	NP_005958.1	ENST00000300131.8	ENSP00000300131.3	MANE Select	12	57089114	57095476	+
GeneID:4666	ENSG00000196531.14	HGNC:7629	NACA	nascent polypeptide associated complex subunit alpha	NM_001365896.1	NP_001352825.1	ENST00000454682.6	ENSP00000403817.1	MANE Select	12	56712427	56725299	-
GeneID:4668	ENSG00000198951.12	HGNC:7631	NAGA	alpha-N-acetylgalactosaminidase	NM_000262.3	NP_000253.1	ENST00000396398.8	ENSP00000379680.3	MANE Select	22	42058334	42070812	-
GeneID:4669	ENSG00000108784.10	HGNC:7632	NAGLU	N-acetyl-alpha-glucosaminidase	NM_000263.4	NP_000254.2	ENST00000225927.7	ENSP00000225927.1	MANE Select	17	42536241	42544449	+
GeneID:4670	ENSG00000099783.12	HGNC:5046	HNRNPM	heterogeneous nuclear ribonucleoprotein M	NM_005968.5	NP_005959.2	ENST00000325495.9	ENSP00000325376.2	MANE Select	19	8444975	8489114	+
GeneID:4671	ENSG00000249437.8	HGNC:7634	NAIP	NLR family apoptosis inhibitory protein	NM_004536.3	NP_004527.2	ENST00000517649.6	ENSP00000428657.2	MANE Select	5	70968166	71025339	-
GeneID:4673	ENSG00000187109.15	HGNC:7637	NAP1L1	nucleosome assembly protein 1 like 1	NM_004537.7	NP_004528.1	ENST00000618691.5	ENSP00000477538.1	MANE Select	12	76036585	76084685	-
GeneID:4674	ENSG00000186462.9	HGNC:7638	NAP1L2	nucleosome assembly protein 1 like 2	NM_021963.4	NP_068798.1	ENST00000373517.4	ENSP00000362616.3	MANE Select	X	73212299	73214851	-
GeneID:4675	ENSG00000186310.10	HGNC:7639	NAP1L3	nucleosome assembly protein 1 like 3	NM_004538.6	NP_004529.2	ENST00000373079.4	ENSP00000362171.3	MANE Select	X	93670930	93673578	-
GeneID:4676	ENSG00000205531.13	HGNC:7640	NAP1L4	nucleosome assembly protein 1 like 4	NM_005969.4	NP_005960.1	ENST00000380542.9	ENSP00000369915.4	MANE Select	11	2944437	2992329	-
GeneID:4677	ENSG00000134440.12	HGNC:7643	NARS1	asparaginyl-tRNA synthetase 1	NM_004539.4	NP_004530.1	ENST00000256854.10	ENSP00000256854.4	MANE Select	18	57600656	57621836	-
GeneID:4678	ENSG00000132780.17	HGNC:7644	NASP	nuclear autoantigenic sperm protein	NM_002482.4	NP_002473.2	ENST00000350030.8	ENSP00000255120.5	MANE Select	1	45584041	45618893	+
GeneID:4680	ENSG00000086548.9	HGNC:1818	CEACAM6	CEA cell adhesion molecule 6	NM_002483.7	NP_002474.4	ENST00000199764.7	ENSP00000199764.6	MANE Select	19	41755530	41772211	+
GeneID:4681	ENSG00000158747.15	HGNC:7650	NBL1	NBL1, DAN family BMP antagonist	NM_005380.8	NP_005371.2	ENST00000375136.8	ENSP00000364278.4	MANE Select	1	19644311	19658452	+
GeneID:4682	ENSG00000103274.11	HGNC:8041	NUBP1	nucleotide binding protein 1	NM_002484.4	NP_002475.2	ENST00000283027.10	ENSP00000283027.5	MANE Select	16	10743842	10769351	+
GeneID:4683	ENSG00000104320.14	HGNC:7652	NBN	nibrin	NM_002485.5	NP_002476.2	ENST00000265433.8	ENSP00000265433.4	MANE Select	8	89933331	89984667	-
GeneID:4684	ENSG00000149294.17	HGNC:7656	NCAM1	neural cell adhesion molecule 1	NM_181351.5	NP_851996.2	ENST00000316851.12	ENSP00000318472.8	MANE Select	11	112961420	113278436	+
GeneID:4685	ENSG00000154654.15	HGNC:7657	NCAM2	neural cell adhesion molecule 2	NM_004540.5	NP_004531.2	ENST00000400546.6	ENSP00000383392.1	MANE Select	21	20998409	21543329	+
GeneID:4686	ENSG00000136937.13	HGNC:7658	NCBP1	nuclear cap binding protein subunit 1	NM_002486.5	NP_002477.1	ENST00000375147.8	ENSP00000364289.3	MANE Select	9	97633821	97673748	+
GeneID:4688	ENSG00000116701.15	HGNC:7661	NCF2	neutrophil cytosolic factor 2	NM_000433.4	NP_000424.2	ENST00000367535.8	ENSP00000356505.4	MANE Select	1	183555562	183590459	-
GeneID:4689	ENSG00000100365.16	HGNC:7662	NCF4	neutrophil cytosolic factor 4	NM_000631.5	NP_000622.2	ENST00000248899.11	ENSP00000248899.6	MANE Select	22	36861006	36878015	+
GeneID:4690	ENSG00000158092.7	HGNC:7664	NCK1	NCK adaptor protein 1	NM_001291999.2	NP_001278928.1	ENST00000481752.6	ENSP00000417273.1	MANE Select	3	136862208	136951606	+
GeneID:4691	ENSG00000115053.17	HGNC:7667	NCL	nucleolin	NM_005381.3	NP_005372.2	ENST00000322723.9	ENSP00000318195.4	MANE Select	2	231453531	231464484	-
GeneID:4692	ENSG00000182636.8	HGNC:7675	NDN	necdin, MAGE family member	NM_002487.3	NP_002478.1	ENST00000649030.2	ENSP00000497916.1	MANE Select	15	23685400	23687305	-
GeneID:4693	ENSG00000124479.11	HGNC:7678	NDP	norrin cystine knot growth factor NDP	NM_000266.4	NP_000257.1	ENST00000642620.1	ENSP00000495972.1	MANE Select	X	43948776	43973390	-
GeneID:4694	ENSG00000125356.7	HGNC:7683	NDUFA1	NADH:ubiquinone oxidoreductase subunit A1	NM_004541.4	NP_004532.1	ENST00000371437.5	ENSP00000360492.4	MANE Select	X	119871832	119876662	+
GeneID:4695	ENSG00000131495.9	HGNC:7685	NDUFA2	NADH:ubiquinone oxidoreductase subunit A2	NM_002488.5	NP_002479.1	ENST00000252102.9	ENSP00000252102.5	MANE Select	5	140645285	140647630	-
GeneID:4696	ENSG00000170906.16	HGNC:7686	NDUFA3	NADH:ubiquinone oxidoreductase subunit A3	NM_004542.4	NP_004533.1	ENST00000485876.6	ENSP00000418438.1	MANE Select	19	54102855	54107568	+
GeneID:4697	ENSG00000189043.10	HGNC:7687	NDUFA4	NDUFA4 mitochondrial complex associated	NM_002489.4	NP_002480.1	ENST00000339600.6	ENSP00000339720.5	MANE Select	7	10931943	10940153	-
GeneID:4698	ENSG00000128609.16	HGNC:7688	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5	NM_005000.5	NP_004991.1	ENST00000355749.7	ENSP00000347988.2	MANE Select	7	123536997	123557818	-
GeneID:4700	ENSG00000184983.11	HGNC:7690	NDUFA6	NADH:ubiquinone oxidoreductase subunit A6	NM_002490.6	NP_002481.3	ENST00000498737.8	ENSP00000418842.3	MANE Select	22	42085526	42090772	-
GeneID:4701	ENSG00000267855.6	HGNC:7691	NDUFA7	NADH:ubiquinone oxidoreductase subunit A7	NM_005001.5	NP_004992.2	ENST00000301457.3	ENSP00000301457.1	MANE Select	19	8311284	8321375	-
GeneID:4702	ENSG00000119421.7	HGNC:7692	NDUFA8	NADH:ubiquinone oxidoreductase subunit A8	NM_014222.3	NP_055037.1	ENST00000373768.4	ENSP00000362873.3	MANE Select	9	122144058	122159779	-
GeneID:4703	ENSG00000183091.21	HGNC:7720	NEB	nebulin	NM_001164508.2	NP_001157980.2	ENST00000397345.8	ENSP00000380505.3	MANE Select	2	151485339	151734476	-
GeneID:4703	ENSG00000183091.21	HGNC:7720	NEB	nebulin	NM_001164507.2	NP_001157979.2	ENST00000427231.7	ENSP00000416578.2	MANE Plus Clinical	2	151485339	151734476	-
GeneID:4704	ENSG00000139180.11	HGNC:7693	NDUFA9	NADH:ubiquinone oxidoreductase subunit A9	NM_005002.5	NP_004993.1	ENST00000266544.10	ENSP00000266544.5	MANE Select	12	4649114	4694317	+
GeneID:4705	ENSG00000130414.13	HGNC:7684	NDUFA10	NADH:ubiquinone oxidoreductase subunit A10	NM_004544.4	NP_004535.1	ENST00000252711.7	ENSP00000252711.2	MANE Select	2	239957372	240025342	-
GeneID:4706	ENSG00000004779.10	HGNC:7694	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1	NM_005003.3	NP_004994.1	ENST00000007516.8	ENSP00000007516.2	MANE Select	16	23581014	23596316	-
GeneID:4707	ENSG00000183648.11	HGNC:7695	NDUFB1	NADH:ubiquinone oxidoreductase subunit B1	NM_004545.4	NP_004536.3	ENST00000605997.6	ENSP00000475170.1	MANE Select	14	92116123	92121706	-
GeneID:4708	ENSG00000090266.13	HGNC:7697	NDUFB2	NADH:ubiquinone oxidoreductase subunit B2	NM_004546.3	NP_004537.1	ENST00000247866.9	ENSP00000247866.4	MANE Select	7	140696708	140706643	+
GeneID:4709	ENSG00000119013.10	HGNC:7698	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3	NM_002491.3	NP_002482.1	ENST00000237889.9	ENSP00000237889.4	MANE Select	2	201072001	201085750	+
GeneID:4710	ENSG00000065518.8	HGNC:7699	NDUFB4	NADH:ubiquinone oxidoreductase subunit B4	NM_004547.6	NP_004538.2	ENST00000184266.3	ENSP00000184266.2	MANE Select	3	120596336	120602507	+
GeneID:4711	ENSG00000136521.13	HGNC:7700	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5	NM_002492.4	NP_002483.1	ENST00000259037.8	ENSP00000259037.3	MANE Select	3	179604794	179627647	+
GeneID:4712	ENSG00000165264.11	HGNC:7701	NDUFB6	NADH:ubiquinone oxidoreductase subunit B6	NM_002493.5	NP_002484.1	ENST00000379847.8	ENSP00000369176.3	MANE Select	9	32553001	32573159	-
GeneID:4713	ENSG00000099795.7	HGNC:7702	NDUFB7	NADH:ubiquinone oxidoreductase subunit B7	NM_004146.6	NP_004137.2	ENST00000215565.3	ENSP00000215565.1	MANE Select	19	14566078	14572066	-
GeneID:4714	ENSG00000166136.16	HGNC:7703	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8	NM_005004.4	NP_004995.1	ENST00000299166.9	ENSP00000299166.4	MANE Select	10	100523740	100529871	-
GeneID:4715	ENSG00000147684.10	HGNC:7704	NDUFB9	NADH:ubiquinone oxidoreductase subunit B9	NM_005005.3	NP_004996.1	ENST00000276689.8	ENSP00000276689.3	MANE Select	8	124539123	124549979	+
GeneID:4716	ENSG00000140990.15	HGNC:7696	NDUFB10	NADH:ubiquinone oxidoreductase subunit B10	NM_004548.3	NP_004539.1	ENST00000268668.11	ENSP00000268668.6	MANE Select	16	1959538	1961975	+
GeneID:4717	ENSG00000109390.13	HGNC:7705	NDUFC1	NADH:ubiquinone oxidoreductase subunit C1	NM_001184989.2	NP_001171918.1	ENST00000394223.2	ENSP00000377770.1	MANE Select	4	139289931	139302477	-
GeneID:4718	ENSG00000151366.13	HGNC:7706	NDUFC2	NADH:ubiquinone oxidoreductase subunit C2	NM_004549.6	NP_004540.1	ENST00000281031.5	ENSP00000281031.4	MANE Select	11	78068297	78079862	-
GeneID:4719	ENSG00000023228.14	HGNC:7707	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1	NM_005006.7	NP_004997.4	ENST00000233190.11	ENSP00000233190.5	MANE Select	2	206114817	206159444	-
GeneID:4720	ENSG00000158864.13	HGNC:7708	NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2	NM_001377299.1	NP_001364228.1	ENST00000676972.1	ENSP00000503117.1	MANE Select	1	161202367	161214395	+
GeneID:4722	ENSG00000213619.11	HGNC:7710	NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3	NM_004551.3	NP_004542.1	ENST00000263774.9	ENSP00000263774.4	MANE Select	11	47579074	47584562	+
GeneID:4723	ENSG00000167792.13	HGNC:7716	NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1	NM_007103.4	NP_009034.2	ENST00000322776.11	ENSP00000322450.6	MANE Select	11	67606936	67612554	+
GeneID:4724	ENSG00000164258.12	HGNC:7711	NDUFS4	NADH:ubiquinone oxidoreductase subunit S4	NM_002495.4	NP_002486.1	ENST00000296684.10	ENSP00000296684.5	MANE Select	5	53560639	53683338	+
GeneID:4725	ENSG00000168653.11	HGNC:7712	NDUFS5	NADH:ubiquinone oxidoreductase subunit S5	NM_004552.3	NP_004543.1	ENST00000372969.8	ENSP00000362060.3	MANE Select	1	39026350	39034615	+
GeneID:4726	ENSG00000145494.12	HGNC:7713	NDUFS6	NADH:ubiquinone oxidoreductase subunit S6	NM_004553.6	NP_004544.1	ENST00000274137.10	ENSP00000274137.6	MANE Select	5	1801407	1816048	+
GeneID:4728	ENSG00000110717.13	HGNC:7715	NDUFS8	NADH:ubiquinone oxidoreductase core subunit S8	NM_002496.4	NP_002487.1	ENST00000313468.10	ENSP00000315774.5	MANE Select	11	68030681	68036644	+
GeneID:4729	ENSG00000178127.13	HGNC:7717	NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2	NM_021074.5	NP_066552.2	ENST00000318388.11	ENSP00000327268.6	MANE Select	18	9102699	9134341	+
GeneID:4731	ENSG00000160194.18	HGNC:7719	NDUFV3	NADH:ubiquinone oxidoreductase subunit V3	NM_021075.4	NP_066553.3	ENST00000354250.7	ENSP00000346196.2	MANE Select	21	42893309	42913299	+
GeneID:4733	ENSG00000185721.13	HGNC:3029	DRG1	developmentally regulated GTP binding protein 1	NM_004147.4	NP_004138.1	ENST00000331457.9	ENSP00000329715.4	MANE Select	22	31399604	31434452	+
GeneID:4734	ENSG00000069869.17	HGNC:7727	NEDD4	NEDD4 E3 ubiquitin protein ligase	NM_006154.4	NP_006145.2	ENST00000435532.8	ENSP00000410613.3	MANE Select	15	55826922	55993612	-
GeneID:4735	ENSG00000168385.18	HGNC:7729	SEPTIN2	septin 2	NM_004404.5	NP_004395.1	ENST00000391971.7	ENSP00000375832.2	MANE Select	2	241315925	241354027	+
GeneID:4736	ENSG00000198755.11	HGNC:10299	RPL10A	ribosomal protein L10a	NM_007104.5	NP_009035.3	ENST00000322203.7	ENSP00000363018.3	MANE Select	6	35468401	35470780	+
GeneID:4738	ENSG00000129559.13	HGNC:7732	NEDD8	NEDD8 ubiquitin like modifier	NM_006156.3	NP_006147.1	ENST00000250495.10	ENSP00000250495.5	MANE Select	14	24216857	24232367	-
