,Gene/Region,GRCh37,"HI Score","TS Score",OMIM,Morbid,%HI,pLI,LOEUF,"Last Eval."
R,"16p13.3 population region (DGV_Gold_Standard_June_2021_gssvL41949)",16:1289937-1295280,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"16p13.3 population region (gnomAD-SV_v2.1_DEL_16_151010)",16:59999-65000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
R,"16p13.3 region (includes CREBBP)",16:3775056-3930121,"3 (Sufficient Evidence)","1 (Little Evidence)",,,‐,‐,‐,06/09/2016
R,"16q22.1 population region (gnomAD-SV_v2.1_DUP_16_42449)",16:70094243-70242956,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"16q22.2 population region (DGV_Gold_Standard_June_2021_gssvG15245)",16:72088515-72116064,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"16q23.1 population region (DGV_Gold_Standard_June_2021_gssvG15270)",16:74387937-74459162,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"17p11.2 population region (DGV_Gold_Standard_June_2021_gssvG16012)",17:16660760-16707833,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"17p11.2 population region (DGV_Gold_Standard_June_2021_gssvG16017)",17:16711572-16724682,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"17p11.2 population region (DGV_Gold_Standard_June_2021_gssvG16067)",17:18361739-18423872,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"17p11.2 population region (DGV_Gold_Standard_June_2021_gssvG16095)",17:18359814-18376676,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"17p11.2 population region (DGV_Gold_Standard_June_2021_gssvL48375)",17:16711606-16724681,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17p11.2 population region (DGV_Gold_Standard_June_2021_gssvL48476)",17:18418589-18465114,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17p11.2 population region (DGV_Gold_Standard_June_2021_gssvL48488)",17:18359790-18376723,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17p11.2 population region (gnomAD-SV_v2.1_DEL_17_159047)",17:18329998-18465150,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17p11.2 population region (gnomAD-SV_v2.1_DEL_17_159095)",17:19014999-19054000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17p11.2 recurrent (SMS/PLS) region (includes RAI1)",17:16810028-20213202,"3 (Sufficient Evidence)","3 (Sufficient Evidence)",,,‐,‐,‐,11/21/2013
R,"17p12 recurrent (HNPP/CMT1A) region (includes PMP22)",17:14097915-15422952,"3 (Sufficient Evidence)","3 (Sufficient Evidence)",,,‐,‐,‐,10/13/2016
R,"17p13.3 (Miller-Dieker syndrome) region (includes YWHAE and PAFAH1B1)",17:1247833-2588909,"3 (Sufficient Evidence)","3 (Sufficient Evidence)",,,‐,‐,‐,11/10/2016
R,"17q11.2 recurrent region (includes NF1)",17:29097069-30264027,"3 (Sufficient Evidence)","2 (Emerging Evidence)",,,‐,‐,‐,10/12/2020
R,"17q12 population region (DGV_Gold_Standard_June_2021_gssvG16427)",17:34502940-34524192,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"17q12 population region (DGV_Gold_Standard_June_2021_gssvL49126)",17:34509779-34551554,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q12 recurrent (RCAD syndrome) region (includes HNF1B)",17:34815072-36192489,"3 (Sufficient Evidence)","3 (Sufficient Evidence)",,,‐,‐,‐,08/10/2015
R,"17q21.2 population region (DGV_Gold_Standard_June_2021_gssvG16538)",17:39531718-39539732,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"17q21.2 population region (DGV_Gold_Standard_June_2021_gssvL49379)",17:39383317-39396444,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.2 population region (DGV_Gold_Standard_June_2021_gssvL49383)",17:39384291-39392558,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.2 population region (DGV_Gold_Standard_June_2021_gssvL49384)",17:39422988-39430527,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.2 population region (DGV_Gold_Standard_June_2021_gssvL49386)",17:39429150-39433594,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.2 population region (gnomAD-SV_v2.1_DEL_17_160287)",17:39383999-39395000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.2 population region (gnomAD-SV_v2.1_DEL_17_160290)",17:39421793-39432145,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.2 population region (gnomAD-SV_v2.1_DUP_17_44064)",17:39531966-39539289,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"17q21.3 recurrent region (includes KANSL1)",17:43705166-44164880,"3 (Sufficient Evidence)","1 (Little Evidence)",,,‐,‐,‐,08/10/2020
R,"17q21.31 population region (gnomAD-SV_v2.1_DEL_17_160658)",17:44368999-44380000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.31 population region (gnomAD-SV_v2.1_DEL_17_160659)",17:44381699-44387000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.31 population region (gnomAD-SV_v2.1_DEL_17_160662)",17:44399099-44405700,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.31 population region (gnomAD-SV_v2.1_DEL_17_160663)",17:44401199-44418450,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.31 population region (gnomAD-SV_v2.1_DEL_17_160664)",17:44403899-44409900,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.31 population region (gnomAD-SV_v2.1_DEL_17_160670)",17:44637999-44653000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q23.1q23.2 recurrent region (includes TBX2, TBX4)",17:58113002-60275809,"3 (Sufficient Evidence)","2 (Emerging Evidence)",,,‐,‐,‐,11/20/2018
R,"18p11.21 population region (DGV_Gold_Standard_June_2021_gssvG17388)",18:14432553-14565138,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"18p11.22 population region (DGV_Gold_Standard_June_2021_gssvL52196)",18:9784172-9793224,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"18p11.31 population region (DGV_Gold_Standard_June_2021_gssvL51911)",18:3568883-3571730,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"18q11.2 population region (DGV_Gold_Standard_June_2021_gssvL52661)",18:23747759-23751695,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"18q21.1 population region (DGV_Gold_Standard_June_2021_gssvG17872)",18:44542290-44558084,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"19p12 population region (DGV_Gold_Standard_June_2021_gssvL57316)",19:20594811-20725405,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19p12 population region (DGV_Gold_Standard_June_2021_gssvL57428)",19:22087099-23141940,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19p13.12 population region (DGV_Gold_Standard_June_2021_gssvL57062)",19:15727731-15787718,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19p13.2 population region (gnomAD-SV_v2.1_DUP_19_46817)",19:7019174-7060500,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"19q13.12 population region (gnomAD-SV_v2.1_DEL_19_172006)",19:35850999-35863275,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.3 region (PSG gene cluster)",19:43242796-43741310,"40 (Dosage Sensitivity Unlikely)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,03/13/2014
R,"19q13.31 population region (gnomAD-SV_v2.1_DEL_19_172625)",19:43700966-43764809,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.31 population region (gnomAD-SV_v2.1_DEL_19_172626)",19:43700999-43716000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.32 population region (DGV_Gold_Standard_June_2021_gssvL58890)",19:46622342-46628475,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.41 population region (gnomAD-SV_v2.1_DEL_19_173443)",19:52127999-52139400,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.41 population region (gnomAD-SV_v2.1_DEL_19_173445)",19:52134299-52149000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.41 population region (gnomAD-SV_v2.1_DEL_19_173549)",19:53316224-53323725,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.42 population region (DGV_Gold_Standard_June_2021_gssvG19479)",19:56280630-56289562,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"19q13.42 population region (DGV_Gold_Standard_June_2021_gssvL59370)",19:53939389-53976651,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173749)",19:54800855-54807620,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173800)",19:55245599-55250700,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173801)",19:55250753-55267130,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173802)",19:55251599-55257000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173803)",19:55256999-55289000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173805)",19:55274849-55281600,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173806)",19:55277999-55288000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173807)",19:55285999-55293000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173809)",19:55292999-55298000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173811)",19:55301499-55324000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173812)",19:55314899-55323600,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173816)",19:55360499-55370000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173817)",19:55367999-55373100,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"1p13.3 population region (DGV_Gold_Standard_June_2021_gssvG1423)",1:108917312-109000328,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/06/2021
R,"1p13.3 population region (gnomAD-SV_v2.1_DEL_1_6959)",1:108923349-108996100,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1p13.3 population region (gnomAD-SV_v2.1_DEL_1_7022)",1:110230194-110254581,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1p21.1 population region (gnomAD-SV_v2.1_DUP_1_1884)",1:104190999-104303200,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/06/2021
R,"1p31.3 population region (DGV_Gold_Standard_June_2021_gssvL2940)",1:62654661-62657211,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1p31.3 population region (DGV_Gold_Standard_June_2021_gssvL3013)",1:64839912-64851868,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1p36 terminal region (includes GABRD)",1:834083-6289973,"3 (Sufficient Evidence)","2 (Emerging Evidence)",,,‐,‐,‐,05/31/2016
R,"1p36.11 population region (gnomAD-SV_v2.1_DEL_1_1834)",1:24283999-24291000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"1p36.11 population region (gnomAD-SV_v2.1_DEL_1_1937)",1:25592799-25651000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"1p36.11 population region (gnomAD-SV_v2.1_DEL_1_1938)",1:25593699-25610200,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"1p36.11 population region (gnomAD-SV_v2.1_DEL_1_1939)",1:25613999-25621000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"1p36.11 population region (gnomAD-SV_v2.1_DEL_1_1941)",1:25630899-25636000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"1p36.11 population region (gnomAD-SV_v2.1_DEL_1_1943)",1:25639499-25650000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"1p36.11 population region (gnomAD-SV_v2.1_DEL_1_1944)",1:25644399-25649500,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"1p36.11 population region (gnomAD-SV_v2.1_DEL_1_1945)",1:25654999-25661350,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"1p36.12 population region (DGV_Gold_Standard_June_2021_gssvL1420)",1:22313123-22335712,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1p36.13 population region (DGV_Gold_Standard_June_2021_gssvL1195)",1:17009445-17012777,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1p36.21 population region (DGV_Gold_Standard_June_2021_gssvG371)",1:12897609-12922238,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/06/2021
R,"1p36.21 population region (DGV_Gold_Standard_June_2021_gssvL1108)",1:16151690-16155602,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1p36.21 population region (DGV_Gold_Standard_June_2021_gssvL1109)",1:16152667-16155517,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1p36.21 population region (DGV_Gold_Standard_June_2021_gssvL889)",1:13692847-13774442,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1p36.21 population region (DGV_Gold_Standard_June_2021_gssvL891)",1:12886641-12942069,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1p36.21 population region (DGV_Gold_Standard_June_2021_gssvL905)",1:12899395-12924283,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1p36.21 population region (gnomAD-SV_v2.1_DEL_1_1085)",1:12896424-12930275,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1p36.21 population region (gnomAD-SV_v2.1_DEL_1_1089)",1:12949999-12966000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1p36.21 population region (gnomAD-SV_v2.1_DEL_1_1094)",1:12989199-12998900,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1p36.21 population region (gnomAD-SV_v2.1_DEL_1_1100)",1:13043099-13052800,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1p36.21 population region (gnomAD-SV_v2.1_DUP_1_507)",1:12894999-12940000,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/06/2021
R,"1p36.33 population region ((DGV_Gold_Standard_June_2021_gssvG23))",1:713039-756009,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/06/2021
R,"1p36.33 population region (DGV_Gold_Standard_June_2021_gssvG23)",1:713039-756009,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/06/2021
R,"1p36.33 population region (gnomAD-SV_v2.1_DEL_1_11)",1:363999-401750,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1p36.33 population region (gnomAD-SV_v2.1_DEL_1_195)",1:1640999-1647000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q21.1 population region (gnomAD-SV_v2.1_DEL_1_7699)",1:146025999-146089000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q21.1 recurrent (TAR syndrome) region (proximal, BP2-BP3) (includes RBM8A)",1:145386507-145748064,"1 (Little Evidence)","1 (Little Evidence)",,,‐,‐,‐,05/18/2017
R,"1q21.1 recurrent region (BP3-BP4, distal) (includes GJA5)",1:146577486-147394506,"3 (Sufficient Evidence)","3 (Sufficient Evidence)",,,‐,‐,‐,04/14/2016
R,"1q21.2 population region (DGV_Gold_Standard_June_2021_gssvL5122)",1:147856152-147913592,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q21.2 population region (DGV_Gold_Standard_June_2021_gssvL5133)",1:149152064-149204067,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q21.2 population region (DGV_Gold_Standard_June_2021_gssvL5166)",1:149207851-149218151,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q21.2 population region (gnomAD-SV_v2.1_DEL_1_7778)",1:147433599-147455000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q21.2 population region (gnomAD-SV_v2.1_DEL_1_7781)",1:147559999-147630500,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q21.2 population region (gnomAD-SV_v2.1_DEL_1_7795)",1:147931899-147982900,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q21.2 population region (gnomAD-SV_v2.1_DEL_1_7798)",1:147944999-147955500,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q21.2 population region (gnomAD-SV_v2.1_DEL_1_7859)",1:149368999-149433200,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q21.2 population region (gnomAD-SV_v2.1_DEL_1_7863)",1:149396649-149406100,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q21.2 region (polymorphic region)(non-unique; also maps to chromosomes 16, 7, and others in GRCh38)",1:148867551-149768855,"40 (Dosage Sensitivity Unlikely)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,10/22/2020
R,"1q21.3 population region (DGV_Gold_Standard_June_2021_gssvG2465)",1:152761495-152773537,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/06/2021
R,"1q21.3 population region (DGV_Gold_Standard_June_2021_gssvL5433)",1:152554926-152575348,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q21.3 population region (gnomAD-SV_v2.1_DEL_1_8075)",1:152555541-152587740,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q21.3 population region (gnomAD-SV_v2.1_DEL_1_8087)",1:152760519-152771091,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q23.3 population region (DGV_Gold_Standard_June_2021_gssvL5778)",1:161570323-161598180,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q23.3 population region (gnomAD-SV_v2.1_DEL_1_8646)",1:161529258-161610923,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q24.2 population region (DGV_Gold_Standard_June_2021_gssvL5980)",1:168024558-168025732,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q25.2 population region (gnomAD-SV_v2.1_DEL_1_9549)",1:179455597-179458296,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q32.2 population region (gnomAD-SV_v2.1_DEL_1_11282)",1:207708749-207718050,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/16/2021
R,"1q41 population region (DGV_Gold_Standard_June_2021_gssvL7905)",1:222373208-222381462,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q43q44 terminal region (includes AKT3)",1:243287730-245318287,"3 (Sufficient Evidence)","0 (No Evidence)",,,‐,‐,‐,10/12/2016
R,"1q44 population region (DGV_Gold_Standard_June_2021_gssvL8766)",1:248756880-248797809,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q44 population region (DGV_Gold_Standard_June_2021_gssvL8958)",1:248755655-248758478,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q44 population region (gnomAD-SV_v2.1_DEL_1_13885)",1:248712454-248757403,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q44 population region (gnomAD-SV_v2.1_DEL_1_13888)",1:248728999-248743000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q44 population region (gnomAD-SV_v2.1_DEL_1_13889)",1:248730999-248798200,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q44 population region (gnomAD-SV_v2.1_DEL_1_13890)",1:248737999-248744000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q44 population region (gnomAD-SV_v2.1_DEL_1_13898)",1:248806699-248819725,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"1q44 population region (gnomAD-SV_v2.1_DUP_1_3816)",1:248619999-248647000,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/06/2021
R,"20p11.22 population region (DGV_Gold_Standard_June_2021_gssvL71898)",20:21486525-21496720,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"20q11.21 population region (DGV_Gold_Standard_June_2021_gssvL72187)",20:29509040-29536079,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"21q11.2 population region (DGV_Gold_Standard_June_2021_gssvL74506)",21:14957505-15202003,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"21q11.2 population region (gnomAD-SV_v2.1_DEL_21_178681)",21:14980399-14986100,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"21q11.2 population region (gnomAD-SV_v2.1_DEL_21_178682)",21:14995199-15001200,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"21q11.2 population region (gnomAD-SV_v2.1_DEL_21_178683)",21:15012799-15034700,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"21q22.3 population region (DGV_Gold_Standard_June_2021_gssvL75982)",21:44969018-44974013,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"21q22.3 population region (DGV_Gold_Standard_June_2021_gssvL76000)",21:44970333-44971747,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"21q22.3 population region (gnomAD-SV_v2.1_DEL_21_181010)",21:47580927-47582908,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.2 recurrent (DGS/VCFS) region (proximal, A-B) (includes TBX1)",22:18912231-20287208,"3 (Sufficient Evidence)","3 (Sufficient Evidence)",,,‐,‐,‐,08/31/2018
R,"22q11.2 recurrent (DGS/VCFS) region (proximal, A-D) (includes TBX1)",22:18912231-21465672,"3 (Sufficient Evidence)","3 (Sufficient Evidence)",,,‐,‐,‐,08/31/2018
R,"22q11.2 recurrent region (central, B/C-D) (includes CRKL)",22:20731986-21465672,"2 (Emerging Evidence)","1 (Little Evidence)",,,‐,‐,‐,09/14/2017
R,"22q11.2 recurrent region (distal type I, D-E/F)",22:21917117-23649111,"3 (Sufficient Evidence)","3 (Sufficient Evidence)",,,‐,‐,‐,03/12/2015
